"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000001630",59.7746968246306,-1.63434316981961,0.273241543259602,-5.98131290843594,2.2134619610646e-09,5.67221762142413e-05,"CYP51A1"
"ENSG00000233355",240.368369415875,3.2050243140464,0.562715382769141,5.69564012676243,1.22909888392582e-08,0.000104989626664943,"CHRM3-AS2"
"ENSG00000238113",261.944012542731,1.704734387974,0.295846511703604,5.76222575063484,8.30118615114031e-09,0.000104989626664943,"LINC01410"
"ENSG00000262222",159.097565398941,1.71863008090152,0.311621111290789,5.51512724469356,3.4852770065551e-08,0.000223284271424952,NA
"ENSG00000075420",4667.22721535119,-0.596772674608093,0.109424337028805,-5.4537472267344,4.9319296105002e-08,0.000252771256397356,"FNDC3B"
"ENSG00000228314",234.982985930103,2.42511205713296,0.450475033066379,5.3834549733539,7.30695321314002e-08,0.00031207997173321,"CYP4F29P"
"ENSG00000122543",16.4050255983895,2.49522354001514,0.467963376010722,5.33209150101944,9.70879930238835e-08,0.000355425272747148,"OCM"
"ENSG00000148600",168.465517803127,2.24498904974308,0.423280903913258,5.30378060760129,1.13428625258325e-07,0.000363340243858729,"CDHR1"
"ENSG00000149043",33.70711315066,4.2630095667406,0.81082644947713,5.25761039182879,1.45939291849746e-07,0.000415537810326844,"SYT8"
"ENSG00000165178",128.345994485144,2.56864486382488,0.491150202958885,5.22985605696657,1.69642074214263e-07,0.00043472477938147,"NCF1C"
"ENSG00000044115",16698.2594287091,-0.503871849415254,0.0971082062360374,-5.18876693274007,2.11691147887867e-07,0.000469765473771989,"CTNNA1"
"ENSG00000108244",30.6339441309019,3.77777811464429,0.729074232349654,5.18160970038579,2.19979149506902e-07,0.000469765473771989,"KRT23"
"ENSG00000114270",909.961649784778,2.07325465843775,0.401512612817227,5.16361028833114,2.42231749916542e-07,0.0004774946787201,"COL7A1"
"ENSG00000139190",4527.48957454851,0.870814022983621,0.17097103965655,5.0933422685674,3.51805749296877e-07,0.000643955295105841,"VAMP1"
"ENSG00000187889",175.846036674583,2.51329804314049,0.498471005503695,5.04201451115668,4.60656345325266e-07,0.000694398794429722,"FYB2"
"ENSG00000151012",661.90803317273,-2.6451858180984,0.524303368597229,-5.04514366401188,4.53180729625607e-07,0.000694398794429722,"SLC7A11"
"ENSG00000103253",521.465494345544,1.68983285757152,0.333868036339946,5.06137956809654,4.16233625033714e-07,0.000694398794429722,"HAGHL"
"ENSG00000059573",3579.05177680307,-0.73585230284553,0.146609255422675,-5.0191394855943,5.19034534624929e-07,0.000700040999173602,"ALDH18A1"
"ENSG00000120662",763.21258533148,0.654849086434422,0.130438927785693,5.02035011749192,5.15773827114865e-07,0.000700040999173602,"MTRF1"
"ENSG00000120332",294.375439270528,-3.15500851475402,0.632322394591916,-4.98955681743674,6.05179728778932e-07,0.000775416786484445,"TNN"
"ENSG00000204282",894.567478028915,1.79478695431044,0.360561406430745,4.97775669358882,6.43254435473937e-07,0.000784954198259767,"TNRC6C-AS1"
"ENSG00000091622",816.92932713087,-0.993312725122394,0.201577490421681,-4.92769665424686,8.32046624923301e-07,0.000969183036831114,"PITPNM3"
"ENSG00000270426",46.2877863533378,1.36018389701526,0.276562381713744,4.91818116616858,8.73520507818553e-07,0.000973253762319923,NA
"ENSG00000080200",1746.95591606096,-1.2036070853005,0.247118021816517,-4.87057591531778,1.11273437905545e-06,0.00118812213323646,"CRYBG3"
"ENSG00000065833",760.583848698426,-1.41926763083932,0.293025339879514,-4.84349794261101,1.27573042891079e-06,0.00125737953735646,"ME1"
"ENSG00000165359",1356.09428349326,1.00345231251001,0.206968588978609,4.84833141812512,1.24504271662462e-06,0.00125737953735646,"INTS6L"
"ENSG00000260682",413.570142934946,1.51452818312549,0.317025409158526,4.77730850390027,1.77657102388014e-06,0.00168616329844268,NA
"ENSG00000167483",672.991639862159,3.25965438618215,0.688236963235014,4.73623847644037,2.17721378221453e-06,0.00199261715653677,"NIBAN3"
"ENSG00000067167",3854.06236435937,-0.67532946411352,0.142973687381514,-4.72345280087416,2.31873792661273e-06,0.00204896476232337,"TRAM1"
"ENSG00000162600",901.218566226668,0.514660226710665,0.109866848824405,4.68439963662944,2.80781704843552e-06,0.00214931718134278,"OMA1"
"ENSG00000246575",79.8151328922361,1.21870990229666,0.259986685574687,4.68758582618475,2.7644677795701e-06,0.00214931718134278,NA
"ENSG00000227946",114.78618067676,0.499547991959233,0.10632111858557,4.69848322332298,2.62100714499989e-06,0.00214931718134278,NA
"ENSG00000008394",8058.74437270467,-0.970893853849303,0.206953341186025,-4.6913659295628,2.7138708417824e-06,0.00214931718134278,"MGST1"
"ENSG00000072818",2479.9061750265,1.96833879583981,0.420475205578844,4.68122440924932,2.85166565853643e-06,0.00214931718134278,"ACAP1"
"ENSG00000139890",97.8072700691706,1.32179952800205,0.283457500788718,4.66313124304052,3.11433993905938e-06,0.00228023072223816,"REM2"
"ENSG00000256574",10.6211620705239,2.33396120135778,0.502372369706708,4.64587891790382,3.38631588183293e-06,0.00233386828064944,"OR13A1"
"ENSG00000140279",15891.6159073223,-1.18232870655672,0.255319751431695,-4.63077650642718,3.64296929782166e-06,0.00233386828064944,"DUOX2"
"ENSG00000104921",258.635869010942,3.58773800600237,0.774254976459115,4.63379392459329,3.5902440007156e-06,0.00233386828064944,"FCER2"
"ENSG00000271303",2529.72793959691,-1.37124524850603,0.294910506727392,-4.64969954350787,3.32418932467123e-06,0.00233386828064944,"SRXN1"
