"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05340","Primary immunodeficiency","4/39","35/5787",7.93789813184874e-05,0.0111130573845882,0.0107788300948262,"973/23495/930/115650",4
"hsa04060","Cytokine-cytokine receptor interaction","8/39","257/5787",0.000251465458973261,0.0176025821281283,0.0170731811618688,"608/23495/4283/3568/115650/6373/5618/6363",8
"hsa04640","Hematopoietic cell lineage","5/39","96/5787",0.000416838159393378,0.0194524474383577,0.018867411425174,"930/1380/3568/931/910",5
